Benchmark Function,Number of Threads,Min Time,Avg Time,Max Time
alpine,1,0.576,0.603833,0.653
alpine,2,0.425,0.465433,0.55
alpine,4,0.457,0.4694,0.492
alpine,8,0.416,0.430933,0.463
alpine,16,0.465,0.492367,0.562
alpine,32,0.537,0.555833,0.569
ackley,1,0.585,0.5964,0.608
ackley,2,0.412,0.428633,0.495
ackley,4,0.444,0.454,0.467
ackley,8,0.416,0.427733,0.452
ackley,16,0.458,0.4673,0.48
ackley,32,0.54,0.564633,0.629
sphere,1,0.464,0.4724,0.484
sphere,2,0.373,0.3863,0.429
sphere,4,0.427,0.4397,0.452
sphere,8,0.401,0.412533,0.429
sphere,16,0.447,0.4585,0.467
sphere,32,0.532,0.546733,0.562
schwefel,1,0.47,0.476733,0.489
schwefel,2,0.377,0.390967,0.406
schwefel,4,0.441,0.447967,0.465
schwefel,8,0.411,0.4178,0.431
schwefel,16,0.46,0.505533,0.562
schwefel,32,0.563,0.599967,0.924
rastrigin,1,1.13,1.15103,1.259
rastrigin,2,0.766,0.7909,0.898
rastrigin,4,0.803,0.814467,0.827
rastrigin,8,0.721,0.7488,0.82
rastrigin,16,0.77,0.794233,0.828
rastrigin,32,0.812,0.854567,0.972
griewank,1,1.195,1.25997,1.343
griewank,2,0.819,0.863167,0.921
griewank,4,0.82,0.8372,0.875
griewank,8,0.748,0.767633,0.796
griewank,16,0.759,0.788133,0.805
griewank,32,0.806,0.827433,0.84
csendes,1,1.282,1.3759,2.105
csendes,2,0.841,0.9667,1.419
csendes,4,0.821,0.882633,1.576
csendes,8,0.746,0.7724,0.795
csendes,16,0.773,0.785967,0.811
csendes,32,0.811,0.847933,0.922
colville,1,0.104,0.109033,0.117
colville,2,0.127,0.133633,0.146
colville,4,0.155,0.159333,0.169
colville,8,0.184,0.1962,0.219
colville,16,0.249,0.2631,0.28
colville,32,0.402,0.4184,0.444
easom,1,0.076,0.0803667,0.0899999
easom,2,0.109,0.116967,0.145
easom,4,0.136,0.145033,0.18
easom,8,0.17,0.178733,0.193
easom,16,0.24,0.248233,0.277
easom,32,0.397,0.409267,0.422
michalewicz,1,0.162,0.169233,0.185
michalewicz,2,0.157,0.1649,0.177
michalewicz,4,0.176,0.183233,0.227
michalewicz,8,0.203,0.212933,0.237
michalewicz,16,0.263,0.2736,0.297
michalewicz,32,0.408,0.420733,0.433
shekel,1,0.174,0.180967,0.194
shekel,2,0.162,0.1705,0.193
shekel,4,0.172,0.176033,0.187
shekel,8,0.198,0.211333,0.247
shekel,16,0.262,0.275533,0.317
shekel,32,0.41,0.421633,0.433
schwefel2_4,1,0.875,0.893967,0.969
schwefel2_4,2,0.689,0.7091,0.74
schwefel2_4,4,0.775,0.7872,0.816
schwefel2_4,8,0.709,0.7326,0.761
schwefel2_4,16,0.739,0.7546,0.787
schwefel2_4,32,0.795,0.814033,0.846
schwefel2_6,1,1.217,1.2416,1.259
schwefel2_6,2,0.812,0.840033,0.897
schwefel2_6,4,0.827,0.848967,0.868
schwefel2_6,8,0.764,0.782067,0.807
schwefel2_6,16,0.782,0.800467,0.825
schwefel2_6,32,0.839,0.855533,0.885
schaffer,1,0.89,0.913067,0.964
schaffer,2,0.713,0.735867,0.755
schaffer,4,0.791,0.802267,0.817
schaffer,8,0.731,0.7455,0.794
schaffer,16,0.754,0.767867,0.8
schaffer,32,0.812,0.831133,0.865
sumSquares,1,0.914,0.929933,0.954
sumSquares,2,0.725,0.739067,0.763
sumSquares,4,0.786,0.799767,0.833
sumSquares,8,0.717,0.741133,0.768
sumSquares,16,0.756,0.7726,0.799
sumSquares,32,0.818,0.835333,0.866
step2,1,1.079,1.0997,1.203
step2,2,0.78,0.7992,0.817
step2,4,0.804,0.823667,0.858
step2,8,0.745,0.7641,0.792
step2,16,0.773,0.795233,0.82
step2,32,0.834,0.849367,0.895
quartic,1,1.024,1.0421,1.085
quartic,2,0.764,0.7885,0.859
quartic,4,0.802,0.812633,0.842
quartic,8,0.738,0.753367,0.78
quartic,16,0.78,0.792633,0.841
quartic,32,0.832,0.848933,0.874
powell,1,1.019,1.03567,1.069
powell,2,0.754,0.789367,0.833
powell,4,0.801,0.818267,0.841
powell,8,0.737,0.7571,0.803
powell,16,0.772,0.790467,0.82
powell,32,0.827,0.8478,0.883
rosenbrock,1,1.124,1.13727,1.16
rosenbrock,2,0.786,0.814767,0.866
rosenbrock,4,0.814,0.833967,0.86
rosenbrock,8,0.751,0.773,0.808
rosenbrock,16,0.78,0.7997,0.84
rosenbrock,32,0.843,0.859267,0.894
dixonPrice,1,1.014,1.03867,1.058
dixonPrice,2,0.768,0.793967,0.843
dixonPrice,4,0.799,0.821367,0.867
dixonPrice,8,0.739,0.755767,0.793
dixonPrice,16,0.769,0.7888,0.839
dixonPrice,32,0.833,0.848,0.883
schwefel1_2,1,1.447,1.45983,1.478
schwefel1_2,2,0.911,0.946333,1.001
schwefel1_2,4,0.88,0.902067,0.932
schwefel1_2,8,0.788,0.832333,0.858
schwefel1_2,16,0.821,0.844767,0.883
schwefel1_2,32,0.893,0.908567,0.953
schwefel2_21,1,0.966,0.987867,1.026
schwefel2_21,2,0.74,0.777567,0.803
schwefel2_21,4,0.796,0.825167,0.862
schwefel2_21,8,0.759,0.785233,0.828
schwefel2_21,16,0.792,0.804133,0.842
schwefel2_21,32,0.847,0.859667,0.903
schwefel2_22,1,0.507,0.530933,0.551
schwefel2_22,2,0.422,0.447067,0.512
schwefel2_22,4,0.478,0.503567,0.538
schwefel2_22,8,0.454,0.4792,0.519
schwefel2_22,16,0.508,0.523167,0.563
schwefel2_22,32,0.604,0.618833,0.656
